"station";"datum";"uur";"windsnelheid";"neerslag";"temperatuur"
310;"2022-07-12";1;6.0;0.0;19.5
310;"2022-07-12";2;4.0;0.0;19.2
310;"2022-07-12";3;3.0;0.0;18.7
310;"2022-07-12";4;2.0;0.0;18.2
310;"2022-07-12";5;3.0;0.0;18.5
310;"2022-07-12";6;3.0;0.0;18.9
310;"2022-07-12";7;3.0;0.0;20.1
310;"2022-07-12";8;4.0;0.0;22.0
310;"2022-07-12";9;3.0;0.0;23.1
310;"2022-07-12";10;3.0;0.0;24.2
310;"2022-07-12";11;1.0;0.0;26.4
310;"2022-07-12";12;3.0;0.0;24.8
